N55528	lifestyle	lifestyleroyals	The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By	Shop the notebooks, jackets, and more that the royals can't live without.	https://assets.msn.com/labs/mind/AAGH0ET.html	"[{""Label"": ""Prince Philip, Duke of Edinburgh"", ""Type"": ""P"", ""WikidataId"": ""Q80976"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [48], ""SurfaceForms"": [""Prince Philip""]}, {""Label"": ""Charles, Prince of Wales"", ""Type"": ""P"", ""WikidataId"": ""Q43274"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [28], ""SurfaceForms"": [""Prince Charles""]}, {""Label"": ""Elizabeth II"", ""Type"": ""P"", ""WikidataId"": ""Q9682"", ""Confidence"": 0.97, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""Queen Elizabeth""]}]"	[]
N45794	news	newscrime	Four flight attendants were arrested in Miami's airport after bringing in thousands in cash, police say	Four American Airlines flight attendants were arrested at the Miami International Airport and charged with money laundering after bringing large amounts of cash into the country, police said.	https://assets.msn.com/labs/mind/AAJcQKF.html	[]	"[{""Label"": ""Miami International Airport"", ""Type"": ""F"", ""WikidataId"": ""Q127530"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [62], ""SurfaceForms"": [""Miami International Airport""]}, {""Label"": ""American Airlines"", ""Type"": ""O"", ""WikidataId"": ""Q32396"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [5], ""SurfaceForms"": [""American Airlines""]}]"
N18445	sports	football_ncaa	Michigan sends breakup tweet to Notre Dame as series goes on hold	Parting is such sweet sorrow, say the Wolverines.	https://assets.msn.com/labs/mind/AAJpMXE.html	[]	[]
N63302	lifestyle	lifestylebuzz	This Wedding Photo of a Canine Best Man Captures Just How Deep a Dog's Love Truly Is	When Mark Doublet made his dog, Marley, the best man at his wedding, he took his duties very seriously, and a photo of them together has gone viral.	https://assets.msn.com/labs/mind/AAJsM5B.html	[]	[]
N10414	movies	movienews	Robert Evans, 'Chinatown' Producer and Paramount Chief, Dies at 89	"Robert Evans, the Paramount executive who produced ""Chinatown"" and ""Urban Cowboy"" and whose life became as melodramatic and jaw-dropping as any of his films, died on Saturday night. He was 89. Even though Hollywood history is filled with colorful characters, few can match the tale of Evans, whose life would seem far-fetched if it were"	https://assets.msn.com/labs/mind/AAJtq5E.html	"[{""Label"": ""Robert Evans"", ""Type"": ""P"", ""WikidataId"": ""Q1826885"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Robert Evans""]}, {""Label"": ""Paramount chief"", ""Type"": ""C"", ""WikidataId"": ""Q2082403"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [39], ""SurfaceForms"": [""Paramount Chief""]}]"	"[{""Label"": ""Robert Evans"", ""Type"": ""P"", ""WikidataId"": ""Q1826885"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0, 285], ""SurfaceForms"": [""Robert Evans"", ""Evans""]}, {""Label"": ""Urban Cowboy"", ""Type"": ""W"", ""WikidataId"": ""Q538042"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [68], ""SurfaceForms"": [""Urban Cowboy""]}, {""Label"": ""Paramount Pictures"", ""Type"": ""O"", ""WikidataId"": ""Q159846"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [18], ""SurfaceForms"": [""Paramount""]}, {""Label"": ""Chinatown (1974 film)"", ""Type"": ""W"", ""WikidataId"": ""Q644987"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [52], ""SurfaceForms"": [""Chinatown""]}]"
N19347	news	newspolitics	Former US Senator Kay Hagan dead at 66	Former U.S. Sen. Kay Hagan, a one-time Capitol Hill intern who went on to become North Carolina's first Democratic female senator, died Monday at her Greensboro home. She was 66.	https://assets.msn.com/labs/mind/AAJtpQT.html	"[{""Label"": ""Kay Hagan"", ""Type"": ""P"", ""WikidataId"": ""Q261003"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [18], ""SurfaceForms"": [""Kay Hagan""]}, {""Label"": ""United States Senate"", ""Type"": ""B"", ""WikidataId"": ""Q66096"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [7], ""SurfaceForms"": [""US Senator""]}]"	"[{""Label"": ""Kay Hagan"", ""Type"": ""P"", ""WikidataId"": ""Q261003"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [17], ""SurfaceForms"": [""Kay Hagan""]}, {""Label"": ""Greensboro, North Carolina"", ""Type"": ""G"", ""WikidataId"": ""Q49238"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [150], ""SurfaceForms"": [""Greensboro""]}, {""Label"": ""North Carolina"", ""Type"": ""G"", ""WikidataId"": ""Q1454"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [81], ""SurfaceForms"": [""North Carolina""]}, {""Label"": ""United States Senate"", ""Type"": ""B"", ""WikidataId"": ""Q66096"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [7], ""SurfaceForms"": [""U.S. Sen""]}]"
N31801	news	newspolitics	Joe Biden reportedly denied Communion at a South Carolina church because of his stance on abortion	Joe Biden has a complicated history with the Catholic Church.	https://assets.msn.com/labs/mind/AAJwml6.html	"[{""Label"": ""Joe Biden"", ""Type"": ""P"", ""WikidataId"": ""Q6279"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Joe Biden""]}, {""Label"": ""South Carolina"", ""Type"": ""G"", ""WikidataId"": ""Q1456"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [43], ""SurfaceForms"": [""South Carolina""]}]"	"[{""Label"": ""Catholic Church"", ""Type"": ""O"", ""WikidataId"": ""Q9592"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [45], ""SurfaceForms"": [""Catholic Church""]}, {""Label"": ""Joe Biden"", ""Type"": ""P"", ""WikidataId"": ""Q6279"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Joe Biden""]}]"
N49749	sports	football_nfl	'Unbelievable.' Chiefs fans stunned, mad after loss to the Titans	What the heck happened? The Chiefs were lining up for a field goal that would have given them and eight-point lead late in Sunday's game against the Tennessee Titans in Nashville. The snap came before holder Dustin Colquitt was ready and he threw the ball away. Colquitt was called for intentional grounding and the Titans took over. They drove down the field for a touchdown, two-point ...	https://assets.msn.com/labs/mind/BBWyzRQ.html	"[{""Label"": ""Tennessee Titans"", ""Type"": ""O"", ""WikidataId"": ""Q320484"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [59], ""SurfaceForms"": [""Titans""]}]"	"[{""Label"": ""Dustin Colquitt"", ""Type"": ""P"", ""WikidataId"": ""Q5317085"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [208, 262], ""SurfaceForms"": [""Dustin Colquitt"", ""Colquitt""]}, {""Label"": ""Tennessee Titans"", ""Type"": ""O"", ""WikidataId"": ""Q320484"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [149, 316], ""SurfaceForms"": [""Tennessee Titans"", ""Titans""]}, {""Label"": ""Nashville, Tennessee"", ""Type"": ""G"", ""WikidataId"": ""Q23197"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [169], ""SurfaceForms"": [""Nashville""]}]"
N15962	sports	football_nfl	Ravens Coach Harbaugh: Michael Pierce's X-Rays Negative After Ankle Injury, No Timetable On Return	Coach John Harbaugh said the x-rays on his ankle came back negative, but there is no clear timetable on his return.	https://assets.msn.com/labs/mind/BBWyzbq.html	"[{""Label"": ""Michael Pierce (American football)"", ""Type"": ""P"", ""WikidataId"": ""Q27306777"", ""Confidence"": 0.978, ""OccurrenceOffsets"": [23], ""SurfaceForms"": [""Michael Pierce""]}, {""Label"": ""Sprained ankle"", ""Type"": ""U"", ""WikidataId"": ""Q2306275"", ""Confidence"": 0.94, ""OccurrenceOffsets"": [62], ""SurfaceForms"": [""Ankle Injury""]}]"	"[{""Label"": ""John Harbaugh"", ""Type"": ""P"", ""WikidataId"": ""Q2412102"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [6], ""SurfaceForms"": [""John Harbaugh""]}]"
N28814	sports	basketball_ncaa	Christyn Williams delivers all-around performance to fuel stilted UConn offense	On a day when UConn's offense often felt stilted and stagnant, the Huskies turned to one player more than any other for scoring, playmaking and a general positive presence. Sophomore Christyn Williams was efficient Sunday, converting 10 of 17 field-goal attempts. She was consistent, with at least one field goal in all four quarters and at least two rebounds in three of the four. And she was ...	https://assets.msn.com/labs/mind/BBWyzcn.html	"[{""Label"": ""Christyn Williams"", ""Type"": ""P"", ""WikidataId"": ""Q51754609"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Christyn Williams""]}]"	"[{""Label"": ""Christyn Williams"", ""Type"": ""P"", ""WikidataId"": ""Q51754609"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [183], ""SurfaceForms"": [""Christyn Williams""]}]"
N47850	news	newsus	Texas teacher free on bond after assaulting a student	A Texas teacher is free on bond tonight, after her arrest for assaulting a student. Her violent outburst was captured on cell phone video. Meg Oliver reports.	https://assets.msn.com/labs/mind/BBWyzdN.html	"[{""Label"": ""Texas"", ""Type"": ""G"", ""WikidataId"": ""Q1439"", ""Confidence"": 0.988, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Texas""]}]"	"[{""Label"": ""Texas"", ""Type"": ""G"", ""WikidataId"": ""Q1439"", ""Confidence"": 0.988, ""OccurrenceOffsets"": [2], ""SurfaceForms"": [""Texas""]}]"
N52046	sports	racing	NASCAR championship standings 2019: Final 4 drivers set for Cup Series title race at Homestead	Three Joe Gibbs Racing drivers will be competing with a Stewart-Haas Racing driver for a championship on Nov. 17.	https://assets.msn.com/labs/mind/BBWyze9.html	"[{""Label"": ""NASCAR Cup Series"", ""Type"": ""N"", ""WikidataId"": ""Q2707177"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0, 60], ""SurfaceForms"": [""NASCAR championship"", ""Cup Series""]}, {""Label"": ""Final four"", ""Type"": ""U"", ""WikidataId"": ""Q1416059"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""Final 4""]}]"	"[{""Label"": ""EFL Championship"", ""Type"": ""O"", ""WikidataId"": ""Q19510"", ""Confidence"": 0.949, ""OccurrenceOffsets"": [89], ""SurfaceForms"": [""championship""]}, {""Label"": ""Stewart-Haas Racing"", ""Type"": ""O"", ""WikidataId"": ""Q511684"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [56], ""SurfaceForms"": [""Stewart-Haas Racing""]}, {""Label"": ""Joe Gibbs Racing"", ""Type"": ""O"", ""WikidataId"": ""Q1691437"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [6], ""SurfaceForms"": [""Joe Gibbs Racing""]}]"
N4219	sports	icehockey_nhl	In USA vs. Canada hockey, the winners are women	At the end, what didn't matter was the score. What mattered most was the game. Playing ice hockey hard and fast. Some of the highest level hockey in the world, played by women. Even the players in Sunday's second sold-out exhibition game between the national women's teams of the United States and Canada   the best female players in the world and the biggest rivals   had stressed a higher purpose to this past week's joint training camp that put...	https://assets.msn.com/labs/mind/BBWyzjA.html	"[{""Label"": ""Canada"", ""Type"": ""G"", ""WikidataId"": ""Q16"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""Canada""]}, {""Label"": ""United States"", ""Type"": ""G"", ""WikidataId"": ""Q30"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [3], ""SurfaceForms"": [""USA""]}]"	"[{""Label"": ""Canada\u2013United States border"", ""Type"": ""U"", ""WikidataId"": ""Q119515"", ""Confidence"": 0.988, ""OccurrenceOffsets"": [280], ""SurfaceForms"": [""United States and Canada""]}]"
N31089	news	newsus	Thief steals thousands from couple during wedding reception	Emma and Chris Cox's picture-perfect wedding day was tarnished when a thief swiped a gift bag filled with thousands in cash. The brazen heist was caught on surveillance cameras.	https://assets.msn.com/labs/mind/BBWyzjn.html	[]	[]
N41479	sports	basketball_nba	Scouting report: Rockets vs. Pelicans	"When/where: 7 p.m. Monday/Smoothie King Center TV/radio: AT&T SportsNet/790-AM; Spanish: 850 AM/101.7 FM So far: Rockets 6-3, Pelicans 2-7 Lately: The Rockets have a three-game winning streak, their longest of the season, after beating the Bulls in Chicago on Saturday. The Pelicans picked up their second win of the season Saturday in Charlotte. Scouting the Rockets In the past six games against the Pelicans, the Rockets have outscored New..."	https://assets.msn.com/labs/mind/BBWyzoA.html	"[{""Label"": ""New Orleans Pelicans"", ""Type"": ""O"", ""WikidataId"": ""Q172339"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [29], ""SurfaceForms"": [""Pelicans""]}, {""Label"": ""Houston Rockets"", ""Type"": ""O"", ""WikidataId"": ""Q161345"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [17], ""SurfaceForms"": [""Rockets""]}]"	"[{""Label"": ""New Orleans Pelicans"", ""Type"": ""O"", ""WikidataId"": ""Q172339"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [126, 274, 336, 402], ""SurfaceForms"": [""Pelicans"", ""Pelicans"", ""Charlotte"", ""Pelicans""]}, {""Label"": ""Houston Rockets"", ""Type"": ""O"", ""WikidataId"": ""Q161345"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [113, 151, 360, 416], ""SurfaceForms"": [""Rockets"", ""Rockets"", ""Rockets"", ""Rockets""]}, {""Label"": ""Chicago Bulls"", ""Type"": ""O"", ""WikidataId"": ""Q128109"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [240, 249], ""SurfaceForms"": [""Bulls"", ""Chicago""]}, {""Label"": ""Smoothie King Center"", ""Type"": ""S"", ""WikidataId"": ""Q1515840"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [26], ""SurfaceForms"": [""Smoothie King Center""]}, {""Label"": ""AT&T SportsNet"", ""Type"": ""M"", ""WikidataId"": ""Q7366558"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [57], ""SurfaceForms"": [""AT&T SportsNet""]}, {""Label"": ""101.7 FM"", ""Type"": ""U"", ""WikidataId"": ""Q4546262"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [96], ""SurfaceForms"": [""101.7 FM""]}, {""Label"": ""850 AM"", ""Type"": ""U"", ""WikidataId"": ""Q4644826"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [89], ""SurfaceForms"": [""850 AM""]}, {""Label"": ""790 AM"", ""Type"": ""U"", ""WikidataId"": ""Q4643709"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [72], ""SurfaceForms"": [""790-AM""]}]"
N54299	sports	baseball_mlb	Column: Baseball's hot stove league could use an NBA-style spark after the slow pace of the last few offseasons	"When discussing teams' interest in free agent Bryce Harper last year at the general managers meetings, agent Scott Boras cautioned that many suitors would be playing it cool over the winter. ""It's not a regatta,"" Boras said. ""It's a submarine race."" The submarine race finally ended more than three months later, during spring training, with Harper signing a record 13-year, $330 million deal ..."	https://assets.msn.com/labs/mind/BBWyzru.html	"[{""Label"": ""National Basketball Association"", ""Type"": ""O"", ""WikidataId"": ""Q155223"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [49], ""SurfaceForms"": [""NBA""]}, {""Label"": ""Baseball"", ""Type"": ""C"", ""WikidataId"": ""Q5369"", ""Confidence"": 0.943, ""OccurrenceOffsets"": [8], ""SurfaceForms"": [""Baseball""]}]"	"[{""Label"": ""Scott Boras"", ""Type"": ""P"", ""WikidataId"": ""Q1064440"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [109, 213], ""SurfaceForms"": [""Scott Boras"", ""Boras""]}, {""Label"": ""Bryce Harper"", ""Type"": ""P"", ""WikidataId"": ""Q2524302"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [46, 342], ""SurfaceForms"": [""Bryce Harper"", ""Harper""]}]"
N15236	finance	finance-real-estate	Only 1 World City Charges More Than NYC Per Foot Of Apt Space	The amount New Yorkers pay per square foot of real estate is much higher than almost anywhere else in the world, a recent report shows.	https://assets.msn.com/labs/mind/BBWyzsa.html	[]	[]
N39850	lifestyle	lifestylebuzz	Veterans Day event in Jeffersontown brings out the town and the Ladies for Liberty	At a Veterans Day observation service in Jeffersontown Veterans Memorial Park Sunday, several hundred people gathered.	https://assets.msn.com/labs/mind/BBWyztJ.html	"[{""Label"": ""Jeffersontown, Kentucky"", ""Type"": ""G"", ""WikidataId"": ""Q2018277"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [22], ""SurfaceForms"": [""Jeffersontown""]}, {""Label"": ""Veterans Day"", ""Type"": ""H"", ""WikidataId"": ""Q755999"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Veterans Day""]}]"	"[{""Label"": ""Jeffersontown, Kentucky"", ""Type"": ""G"", ""WikidataId"": ""Q2018277"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [41], ""SurfaceForms"": [""Jeffersontown""]}, {""Label"": ""Veterans Day"", ""Type"": ""H"", ""WikidataId"": ""Q755999"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [5], ""SurfaceForms"": [""Veterans Day""]}]"
N3354	sports	more_sports	NCDPS: Juveniles who escaped from N.C. development center may be in Hickory area		https://assets.msn.com/labs/mind/BBWyzux.html	"[{""Label"": ""North Carolina Department of Public Safety"", ""Type"": ""O"", ""WikidataId"": ""Q7054478"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""NCDPS""]}, {""Label"": ""Hickory, North Carolina"", ""Type"": ""G"", ""WikidataId"": ""Q2028564"", ""Confidence"": 0.994, ""OccurrenceOffsets"": [68], ""SurfaceForms"": [""Hickory""]}, {""Label"": ""North Carolina"", ""Type"": ""G"", ""WikidataId"": ""Q1454"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [34], ""SurfaceForms"": [""N.C.""]}]"	[]
N35584	travel	travelnews	Veterans gather, share stories at Brick Store Museum exhibit ahead of American Legion Centennial	The Brick Store Museum in Kennebunk held an open house for veterans Sunday in celebration of the American Legion's centennial anniversary. At the museum, a new exhibit looks back at 100 years of history between the town of Kennebunk and the Webber-Lefebvre American Legion Post 74. The exhibit displays various artifacts, historical documents, military uniforms and photos on loan from the post. Sign up for our Newsletters The American Legion is...	https://assets.msn.com/labs/mind/BBWyzvw.html	"[{""Label"": ""Brick Store Museum"", ""Type"": ""F"", ""WikidataId"": ""Q4965948"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [34], ""SurfaceForms"": [""Brick Store Museum""]}]"	"[{""Label"": ""American Legion"", ""Type"": ""O"", ""WikidataId"": ""Q468865"", ""Confidence"": 0.991, ""OccurrenceOffsets"": [97, 257, 424], ""SurfaceForms"": [""American Legion"", ""American Legion Post"", ""The American Legion""]}, {""Label"": ""Kennebunk, Maine"", ""Type"": ""G"", ""WikidataId"": ""Q1994665"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [26, 223], ""SurfaceForms"": [""Kennebunk"", ""Kennebunk""]}, {""Label"": ""Brick Store Museum"", ""Type"": ""F"", ""WikidataId"": ""Q4965948"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""Brick Store Museum""]}]"
