User,ID,Negative,Positive,Neutral
U89744,N24422 N25287 N39121 N41777 N58226 N119 N29197 N33727 N45189 N13480 N14167 N53494 N26040 N18094 N51458 N48222 N3812 N22561 N58264 N59289 N16541 N35488 N55141 N7534 N48423 N45794 N18939 N57967 N41832 N55051 N63411 N2533 N50748 N52631 N58090 N5092 N49689 N12349 N13057 N56638 N4885 N58997 N23554 N25604 N13286 N61342 N8448 N24578 N10417 N4693 N57528 N28149 N12215 N52145 N7132 N306 N8331 N11405 N28088 N49526 N42620 N55556 N25885 N38105 N43608 N62058 N8629 N22260 N27023 N8959 N63658 N16710 N55911 N10888 N2735 N53428 N8519 N4654,20,42,16
U10045,N52865 N22570 N37481 N55189 N16158 N63276 N15087 N10270 N54807 N56447 N53209 N32670 N62055 N62396 N45824 N21851 N62283 N37835 N23163 N54305 N51180 N34380 N61005 N44442 N56175 N53033 N1406 N4408 N57364 N14437 N32027 N63306 N23554 N64395 N26606 N10679 N5211 N27164 N9441 N52196 N35685 N36068 N64456 N17463 N52227 N4745 N22929 N3933 N4607 N5019 N49990 N14137 N21428,14,32,7
U92486,N45388 N14238 N28467 N24724 N56446 N770 N20933 N36229 N32089 N15034 N51147 N14340 N4020 N65169 N57737 N20121 N21628 N33622 N6231 N40545 N61319 N46354 N28660 N29819 N9460 N53052 N27106 N14662 N14972 N27644 N50343 N6154 N2805 N38821 N28058 N1455 N57318 N1398 N4524 N62545 N18445 N24591 N8160 N63642 N31820 N31801 N50015 N44007 N23614 N30160 N60936 N7132 N10671 N11673 N58625 N64467 N28088 N12349 N50049 N28711 N42620 N51464 N52692 N51616 N42583 N43955 N58801 N33771 N35554 N14588 N6785 N8285 N46795 N57239 N22032 N14349 N33771 N17371 N41218 N2735 N2052 N58601,19,50,13
U29155,N60785 N11885 N38939 N25114 N44984 N4830 N20680 N40373 N60184 N60184 N16292 N47175 N8448 N10417 N36353 N37681 N48076 N306 N37131 N32008 N61249 N11855 N33503 N46085 N59139 N30612 N3280 N13138 N46267 N46267 N47687 N44416 N42137 N1843 N48621 N25258 N60985 N42128 N19660 N43955 N59923 N12576 N21317 N50372 N65204 N34167 N41244 N25062 N37586 N36387 N53017 N28257 N40785 N23784,9,32,13
U63162,N59774 N56853 N63248 N22479 N10340 N59469 N36593 N61070 N30827 N6576 N63554 N62285 N11163 N50258 N15122 N58091 N30974 N39235 N37123 N21019 N32109 N61005 N3057 N21389 N12709 N50479 N22614 N25158 N30103 N42791 N3057 N58744 N54449 N47922 N55051 N59359 N64554 N13912 N2183 N13225 N57318 N19347 N40526 N53118 N56444 N56290 N54842 N63889 N28074 N6285 N43374 N62471 N19874 N41298 N43595 N64467 N51457 N51503 N2018 N12785 N56438 N8237 N61972 N31099 N2078 N64983 N31802 N29561 N22627 N43595 N54536 N40442 N35458 N16344,16,43,15
U17841,N41089 N3577 N59496 N18086 N56175 N56630 N13893 N45794 N56537 N5978 N11727 N54435 N40716 N7499 N9803 N34934 N20109 N10417 N63180 N619 N60850 N11005 N995 N32852 N59254 N40944 N40640 N6750 N21720 N27919 N61186 N55556 N46795 N18870 N38495 N42570 N17681 N22816 N32268,17,17,5
U8312,N22545 N44559 N32893 N33571 N4614 N56446 N56447 N32208 N42470 N26176 N21817 N54522 N61813 N62209 N28624 N5283 N55742 N27526 N55064 N33740 N16190 N43627 N60956 N21899 N51810,4,14,7
U11306,N18064 N38868 N60340 N31801 N39778 N54842 N11005 N29867 N33502 N40509,3,6,1
U38627,N21136 N306 N26026 N2309 N36530,2,2,1
U1111,N31633 N4303 N1398 N34930 N34048 N31978 N20495 N33240,8,0,0
