DOCUMENT_INDEX;TITLE;TARGET_ENTITY;DOCUMENT;TRUE_SENTIMENT
12;Nigerian military deploys to northern city;Boko Haram;"Soldiers will stop and check all motorists passing through Maiduguri and nearby villages throughout the night  while police will take over manning checkpoints during the day  authorities said. The soldiers arrived late Tuesday night  the first sign of a federal government intervention in a city beset by targeted killings by Boko Haram for weeks.
 Zarewa also said police found the unexploded bombs after an alleged Boko Haram bomb attack on a police station in Gamboru  a building destroyed by rioting sect members in July 2009. The rioting  as well as a subsequent security crackdown  left more than 700 people dead.
 Followers of Boko Haram  which means ""Western education is sacrilege"" in the local Hausa language  went into hiding after the July 2009 riot  as police began arresting anyone caught listening to or holding a sermon by the sect. However  officials now fear the group has rearmed. A video recording released in late June showed a Boko Haram leader calling for new violence as the one-year anniversary of their attack neared.
 Boko Haram has said it wants a stricter version of Islam's Shariah law in place across Nigeria. Nigeria  a nation of 150 million people  is divided between the Christian-dominated south and the Muslim north. A dozen states across Nigeria's north already have Shariah law in place  though the area remains under the control of secular state governments.
a Boko Haram leader calling for new violence as the one-year anniversary of their attack neared.";Negative
13;;Hillary Clinton;"""Trump was outspent by Clinton by 1.7 times , she had 2.4 more personnel than us . 
Addressing the Oxford Union on Monday night , Mr Scaramucci discussed how Mr Trump defeated Hillary Clinton in November , despite the Democratic nominee 's greater financial clout .";Neutral
14;Nepali women vies for new world record;Qomolangma;"The first team of women who summit Mt. Qomolangma has termed their project ""Everest women 7 summits eco-action""  the first international leg of a mission to climb seven highest peaks on each of seven continents  the team informed media amid a press conference organized here in capital Kathmandu prior to their mission.
 Marking the golden jubilee anniversary of diplomatic relations between Nepal and Australia  the mission kick-starts in Australia on June 29. The team will make their way to Sydney and travel down through the south coast of New South Wales and then up to the alpine region  to climb Mt Kosciuszko/Targangil in early July. The team expects to finish the expedition by the end of 2011.
 ""We will be meeting with schools  environment groups  famous climbers  environmentalists and scientists during the tour  as well as speak at several public events in Sydney  Canberra and Melbourne the team mentioned in a release.
 The team has also set their mission theme entitled ""Education for Action"".
women who summit Mt. Qomolangma has termed their project ""Everest women 7 summits eco-action""  the first international leg of a mission to climb seven highest peaks on each of seven continents  the team informed media amid a press conference organized here in capital Kathmandu prior to their mission.";Positive
15;S.African president says cartoon defamed him;Jacob Zuma;"The cartoon caused a storm when the Times published it in 2008  two years after Jacob Zuma had been acquitted of rape charges. But van der Berg said Zuma had not followed up on threats to sue until now.
 Zuma is claiming 4 million rand (about $570 000) for humiliation and degradation and 1 million rand (about $140 000) for damage to his reputation. His spokesman  Zizi Kodwa  refused to comment Tuesday.
 The cartoon also showed Zuma's political allies encouraging him as they held down a writhing  screaming figure with a sash identifying her as the ""justice system.""
 It appeared in the newspaper as Zuma's political party led a protest campaign to have the corruption charges dropped against him. Zuma at the time was preparing to lead his African National Congress party in general elections. Prosecutors dropped the charges on the eve of the vote  and Zuma took office in 2009.
 Buti Manamela  then a leader of the Young Communist League  filed a formal complaint about the cartoon before South Africa's Human Rights Commission in 2008. The South African Communist Party leader was among the ANC allies depicted in the cartoon.";Negative
16;At Koch donor summit , Mike Pence promises tax reform , and Ted Cruz warns of midterm ` bloodbath ' if Congress fails . ;Ted Cruz;"""We could face a bloodbath ,"" Sen. Ted Cruz -LRB- R-Texas -RRB- told more than 100 donors gathered at the tony St. Regis Hotel in midtown Manhattan , forewarning of the ""potential for a Watergate-level blowout .""";Neutral
17;Ted Cruz challenger Beto O'Rourke is headed to Silicon Valley to raise cash . ;Ted Cruz;"A Texas congressman who is waging a longshot campaign against Sen. Ted Cruz is making his first reported trip to raise money in Silicon Valley , according to an invitation obtained by Recode . 
But O'Rourke may be particularly well-positioned to tap its riches , given the frosty relationship between Cruz and the tech industry on issues like immigration . 
O'Rourke is the underdog against Cruz , who remains popular in his home state despite a once-fractious relationship with President Donald Trump , but O'Rourke 's campaign has shown signs of strength .";Neutral
18;New Questions About Progressives' Power;Blanche Lincoln;"But as Sen. Blanche Lincoln proved by winning the bruising Democratic primary runoff  Democrats do not necessarily serve at the pleasure of the party's left flank. Lincoln survived a massive and unprecedented mobilization by labor unions and liberal advocacy groups in Arkansas  raising questions anew about the political power of the progressive movement.
 Labor alone spent some $10 million on the race  airing an onslaught of advertisements assailing Lincoln for her connections with corporate interests  and had hundreds of paid workers in the state canvassing on behalf of her runoff opponent  Lt. Gov. Bill Halter. High-level union organizers poured into the state in the closing days of the campaign  feeding facts and figures to reporters to tout the likelihood of Lincoln's defeat _ a victory they were convinced was theirs.
 Lincoln's win stunned labor and progressive leaders. But regardless  they said every penny spent to support Halter was worth it. Forcing Lincoln into a race for survival  they said  demonstrated to other moderate Democrats in the country that support from the party's liberal base cannot be taken for granted.
 Steve Rosenthal  a veteran labor organizer who was a key strategist in the campaign against Lincoln  said forcing her into a runoff and having Halter come within four percentage points of her on Tuesday was ""a phenomenal victory.""
 ""There are other senators sitting on Capitol Hill saying  `I don't want to go through what Senator Lincoln went through ' and that's the important lesson "" Rosenthal said. ""The labor movement is about protecting rights and expanding rights for workers. As long as the labor movement is seen as spending its resources only to protect Democrats  it loses.""
 It was an audacious move for labor to take on a sitting senator in a conservative right-to-work state that gave rise to Wal-Mart and where labor unions have long been weak. But the labor movement was bullish  believing Lincoln to be vulnerable. In Halter  an ambitious politician who had long eyed higher office  the movement believed it had found the right vessel with which to sink Lincoln.";Neutral
19;China Focus: Hefty subsidy sought to salvage Xinjiang tourism;Chi Chongqing;"The funding would subsidize tourist agencies or redeem planned ticket price cuts in many scenic spots  said Chi.
 In addition  each traveler who visits Xinjiang before Aug. 31 would get a 10-yuan subsidy per day under the proposal  Chi said  predicting the move could attract 50 000 tourists during this period.
 About 3 400 domestic and overseas tourist groups  comprising 200 000 travelers  had canceled tours as of Sunday  said Chi.
 Xinjiang is estimated to have lost 1 billion yuan in revenue if each traveler had spent 5 000 yuan  he said  forecasting losses of 5 billion yuan this year.";Positive
20;Saudi gets 5 years in jail for frank TV sex talk;Sulaiman al-Jumeii;"Lawyer Sulaiman al-Jumeii said he plans to appeal the court's ruling and is confident the sentence against his client  which includes a ban on travel and talking to the media for five years after his release  will be revoked.
 Al-Jumeii maintains that his client  Mazen Abdul-Jawad  was duped by the Lebanese LBC satellite channel which aired the talk show and was unaware in many cases he was being recorded.
 The other three men on the show were also convicted of discussing sex publicly and sentenced to two years imprisonment and 300 lashes each  according to al-Jumeii.
 In his statement  al-Jumeii said the decision in the case was made ""under pressure from public opinion"" due to the media frenzy surrounding it.
 He also said he will continue pursuing a lawsuit he has filed against LBC.";Neutral
21;John Cornyn says he 's supporting Ted Cruz for re-election in 2018 .;Ted Cruz;"After previously withholding his endorsement , U.S. Sen. John Cornyn , R-Texas , said Sunday he 's supporting Ted Cruz for re-election in 2018 . 
While Cornyn made a pitch for the latest proposal , known as Graham-Cassidy , Cruz continued to assert he was undecided -- and was even more explicit at one point , saying Senate leaders still do n't have his vote . 
In a joint session with Cruz at the Texas Tribune Festival , Cornyn called the junior senator ""enormously constructive"" in the Senate and pledged to support him as he seeks a second term . 
Cornyn said he recently had breakfast with Cruz and they agreed it was important to set aside their differences -- mainly on tactics , not policy -- in the wake of Hurricane Harvey . 
""I think it 's really important , particularly in light of the challenges brought by this huge natural disaster , that we stand together as a Texas delegation and there 's no space between Sen. Cruz and me when it comes to doing work for our state ,"" Cornyn said . 
Cruz said Graham-Cassidy has some ""very good elements"" but does not do enough to lower health insurance premiums . 
The authors took the changes but removed them a day later , Cruz said . 
Cornyn had previously declined to endorse Cruz for re-election , saying he was ""not going to get involved in any primary races , particularly with my colleagues in the Senate ."" 
And Cruz refused to back Cornyn when he was seeking re-election in the 2014 primary . 
""Right now they do n't have my vote , and I do n't think they have Mike Lee 's either ,"" Cruz said . 
Watch Smith 's full interview with Cornyn and Cruz below . 
In 2018 , Cruz is facing a challenge from U.S. Rep. Beto O'Rourke , D-El Paso . 
Cruz has been generally tight-lipped about O'Rourke , but he went further than usual at the festival while responding to a question about his opponent . 
""I do n't think Texans want a far-left Democrat in the Senate ,"" Cruz said .";Neutral
22;GOOGLE TO ADD PAY TO COVER TAX ON SAME-SEX BENEFITS;Bock;"The company began to look at the disparity after a gay employee pointed it out  said Laszlo Bock  Google's vice president for people operations (also known as human resources). Google  by the way  says its benefits team seriously considers any suggestions on how to expand its coverage.
 ""We said  'You're right  that doesn't seem fair ' so we looked into it "" Bock said. ""From that initial suggestion  we said  let's take a look at all the benefits we offer and see if we are being truly fair across the board.""
 As a result  the company also decided to make a few other changes that would help gay employees  including eliminating a one-year waiting period before qualifying for infertility benefits and including domestic partners in its family leave policy -- going beyond the federal Family and Medical Leave Act  which requires employers to provide up to 12 weeks' leave in a one-year period to recover from a medical condition or to care for a relative.
 So what's the cost of Google's largess? Bock declined to provide details but said the decision was less about money and more about equalizing benefits. ""If you were to add it all up  it's not like we are talking hundreds of thousands per employee "" he said. ""It will cost some money  but it was more about doing the right thing.""";Neutral
23;Sex scandal wife of N.Ireland leader claimed expenses for bed;Iris Robinson;"Both Peter and Iris Robinson are lawmakers in the House of Commons in London  as well as holding public office in Northern Ireland  a British province with a self-rule administration led by him.
 Peter Robinson temporarily stood down as Northern Ireland first minister last month after a BBC programme claimed his wife secured 50 000 pounds (56 000 euros  80 000 dollars) to help her young lover  Kirk McCambley  set up a cafe.
 He ordered a probe into a claim he breached parliamentary rules by knowing about the payments but keeping quiet. The inquiry cleared him this week  and he resumed his functions Wednesday.
 His wife resigned as a lawmaker in Belfast and has been undergoing psychiatric treatment.
 After the alphabetically-listed details for Iris Robinson  her husband's entry read simply: ""Mr. Robinson has no issues.""";Neutral
24;Kuwait seeks to boost non-oil income to diversify economy;Sheikh Ahmad;"Sheikh Ahmad  who is tasked with implementing the plan  said 25 percent of projects outlined in the first year have been completed and that 40-50 percent more should be done before the end of the fiscal year in March.
 ""We have already committed to 3.2 billion dollars worth of projects out of the planned 17.7 billion dollars "" he said.
 Mega-projects outlined in the plan include a 25-kilometre (15 miles) causeway  two power stations  four housing cities  a modern container harbour and a huge hospital  the minister said.
Sheikh Ahmad added.
 Sheikh Ahmad said his ministry has already received requests from other ministries and government institutions for 1 100 projects worth 25 billion dollars for the second year of the plan.";Positive
25;Berlusconi in new scandal over Italy judge dinner;Silvio Berlusconi;"Premier Silvio Berlusconi is steeped in a new scandal over a dinner he had at the home of a constitutional court judge who will rule on a key decision whether to grant him immunity from prosecution while in office.
 Opposition lawmakers have called for the removal of the judge  Luigi Mazzella  and a colleague who participated in the mid-May dinner  saying there would never be any way to know whether Berlusconi influenced their deliberations on the immunity issue.
 The court began debating the constitutionality of a law last month that grants Berlusconi  the Italian president and two parliament speakers immunity from prosecution. Berlusconi's forces had pushed the legislation through parliament last summer  saying it was necessary for the government to function.
 At the time the bill was passed  Berlusconi was on trial on corruption charges in Milan  fueling criticism that the bill was tailor-made to save him from prosecution. The premier's trial was suspended pending a decision from the constitutional court  which is expected soon.
 Cabinet minister Elio Vito defended the premier  saying Berlusconi hadn't organized any meeting about the legislation but was rather invited to a dinner by a friend well before the court began deliberating the case.
 Berlusconi has long been dogged by conflict of interest allegations as well as corruption charges stemming from his years as a billionaire media mogul. He has either been acquitted -- sometimes thanks to laws passed by his own government -- or seen cases against him expire under the statute of limitations. He has always maintained his innocence  claiming he is the victim of a conspiracy of left-leaning magistrates.";Negative
26;GALVESTON OFFICIALS ASK TEXAS COURT TO RECONSIDER BEACH RULING;Joe Jaworski;"""I think the Supreme Court really needs to understand the impact of its ruling. It's not just a theoretical question -- they just changed Galveston Island's ability to nourish its beaches "" Mayor Joe Jaworski said.
 ""These are Texas' beaches "" he said. ""It's ironic that the Supreme Court has essentially said it's every man for himself.""
 Although the court rarely grants motions to rehear an already decided case  the stakes are too high to ignore any options  said Jaworski  Galveston's mayor. Galveston's beach-rebuilding effort  replacing 54 million cubic feet of sand  was essential to restoring the island's battered economy and shoring up several damaged neighborhoods  Jaworski said.
 And unless the beach is restored  the city cannot move forward on several pending projects  such as replacing a washed-out road to beachfront houses in the Spanish Grant neighborhood  Jaworski said. ""These houses are sitting there without a street "" he said.
 Jaworski fears some beach residents will abandon the city in frustration. Other city leaders fear landowners will erect their own anti-erosion concrete barriers  creating an unsightly blot that could worsen erosion on nearby tracts.
 ""This has really cast a pall on the west end right now "" Jaworski said.";Neutral
27;New playhouse planned for Shakespeare theater site;William Shakespeare;"This week actor Paul McGann stood amid the dirt and bricks and recited the prologue to ""Romeo and Juliet"" -- a play historians believe had its premiere on this site and in which Shakespeare may have taken a small acting role.
 ""It's possible the prologue was spoken by Shakespeare himself "" McGann said. ""I hope so. I want to channel him.""
 Shakespeare's influence on English culture is incalculable  but relatively few physical links to him remain. Tourists can visit his birth and burial places in the town of Stratford-upon-Avon. In London  there's a reconstruction of the Globe playhouse where he worked near its original site south of the River Thames. Remains have been found nearby of The Rose  another Elizabethan venue.
 It's thought plays including ""Romeo and Juliet"" and ""The Merchant of Venice"" -- as well as works by Christopher Marlowe and Thomas Kyd -- were performed at The Theatre  which served as a base for Shakespeare's troupe  the Chamberlain's Men.
 But by 1598  a dispute with the site's landlord threatened to leave the company homeless. Shakespeare and his colleagues took drastic action: over the Christmas holiday  while the landlord was away  they dismantled the building and hauled its stout oak beans into storage. In the spring  the timbers were ferried across the river and used to build a new theater  the Globe.";Positive
28;Turbulence ahead: Senate opens health care debate;Harry Reid;"But Reid is determined to avoid being remembered as another Democrat who tried and failed to make health care access for the middle class a part of America's social safety net.
 ""Generation after generation has called on us to fix this broken system "" he said at a recent Washington rally. ""We're now closer than ever to getting it done.""
 Reid wants to finish by the end of the month; he may not get to.
 Reid's bill includes $848 billion over 10 years to gradually expand coverage to most of those now uninsured. It would ban onerous insurance industry practices such as denying coverage or charging higher premiums because of someone's poor health. Those who now have the hardest time getting coverage -- the self-employed and small businesses -- could buy a policy in a new insurance market  with government subsidies for many. Older people would get better prescription coverage.";Neutral
29;"Hillary Clinton ""Damned"" Either Way By Silence On Harvey Weinstein Scandal . ";Hillary Clinton;"Despite the big bucks and big support that Hillary Clinton has received from Harvey Weinstein for decades , do n't expect the 2016 Presidential candidate to say anything significant soon about the extensive sexual harassment allegations swirling around the much-accused Oscar-winning producer . 
The Leonardo DiCaprio , Jennifer Lopez , Sarah Jessica Parker and Matthew Broderick attended event was one of many Weinstein was involved in last year in Clinton 's battle for the nomination and then against Donald Trump in her effort to become America 's first female President . 
Pushing others to write hefty checks , Weinstein himself gave thousands personally to Clinton campaign and $ 30,000 to the Clinton Victory Fund . 
""She 's damned if she does and damned if she does n't now in this situation ,"" a deep-pocketed Tinseltown donor to the Democrats told Deadline of any statement by Clinton about the scandal that has seemingly buried now ex-The Weinstein Company boss . 
An October 6 editorial by the NYT advocated that Clinton and Obama , who once in office was also was the recipient of support , big donations and a summer internship for one of his daughters from Weinstein , should speak out about the allegations . 
With the candidate there in person , a June 20 , 2016 fundraiser at Weinstein 's Manhattan home snared $ 1.8 million for the Clinton campaign . 
The latter , like Hillary Clinton , has said nothing . 
""You 'd hope for better , but this is so typical Clinton denial , is n't it ?"" 
Having given a keynote address at Stanford University and continuing her ""What Happened"" book tour in San Francisco the day after the New York Times published a detailed piece on Weinstein 's behavior and six-figure settlements , Clinton made no mention of the reports or the producer . 
Clinton does still calls herself a ""women + kids advocate"" on her Twitter bio and says ""To all the little girls watching ... never doubt that you are valuable and powerful & deserving of every chance & opportunity in the world"" on a pinned tweet dated November 9 , 2016 . 
https:t.coUXlIV1JuOF -- Hillary Clinton -LRB- @HillaryClinton -RRB- October 9 , 2017 . 
Clinton is scheduled to appear in Davis , CA tonight for ""What Happened"" event . 
Having backed Hillary Clinton 's NY Senate run and her 2008 race against Barack Obama for the Democratic nomination , Weinstein was a major donor and bundler for the ex-SecofState 's Hollywood cash vacuuming 2016 campaign .";Negative
30;WORKERS ' RIGHTS EXTEND TO FACEBOOK LABOR BOARD SAYS;Dawnmarie Souza;"The case involves Dawnmarie Souza  who had to prepare a response to a customer's complaint about her work. Souza  the board said  was unhappy that her supervisor would not let a representative of the Teamsters  the union representing the company's workers  help prepare her response.
 Souza then mocked her supervisor on Facebook  using several vulgarities to ridicule him  according to Jonathan Kreisberg  director of the board's Hartford office  which filed the complaint.
Souza  the board said  was unhappy that her supervisor would not let a representative of the Teamsters  the union representing the company's workers  help prepare her response.
 Souza then mocked her supervisor on Facebook  using several vulgarities to ridicule him  according to Jonathan Kreisberg  director of the board's Hartford office  which filed the complaint.";Negative
